Question,Class
"When a solute moves down its concentration gradient across a non-permeable barrier, the process is known as? Describe the answer.",Understanding
Which of the molecules would not require a transport protein to cross the cellular plasma membrane? Give the possible answer.,Understanding
Which of the forms of transport does not require energy? Describe the answer.,Understanding
"Referred to G proteins, Antibodies and Hydrophobic, which could be found on a plasma membrane receptor? Explain the answer.",Understanding
What is the average resting potential of a nerve cell membrane? Describe the answer.,Understanding
What is the conventional way of measuring membrane potential?,Understanding
" Referred to a concentration gradient of ions, presence of neurotransmitters and Semipermeable membrane, which is required to generate a membrane potential? Explain the answer.",Understanding
 Describe about plasma membrane channels.,Understanding
What is true regarding plasma membrane channels?,Understanding
What is true about a cell's phospholipid bilayer?,Understanding
State difference between prokaryotic and eukaryotic cells?,Understanding
What structures plays the biggest role in cell containment? Explain why.,Understanding
What is the function of cholesterol in the cell plasma membrane? Explain the answer.,Understanding
"ATP synthase is an enzyme that synthesizes ATP in the mitochondrion. Based on this information, what is true regarding cellular transport and ATP synthase?",Understanding
What is important for proper cell containment? Describe it.,Understanding
"When subunits called monomers are bonded together, they form larger molecules called polymers. Proteins are a type of polymer. What is the monomer that makes up proteins?",Understanding
"During photosynthesis, plants convert carbon dioxide and water to sugar and oxygen. In this reaction, sugar and oxygen are the?",Understanding
How is an ionic bond formed between two atoms?,Understanding
 How is a saturated fatty acid different from an unsaturated fatty acid?,Understanding
How does a catalyst affect the activation energy of a chemical reaction?,Understanding
Conditions are likely to affect the shape of an enzyme? Give the examples.,Understanding
The graph below shows a catalyzed reaction vs. an uncatalyzed reaction.  Which of the following statements is true about the graph?,Understanding
In which kind of solution would water move from the solution into the cell?,Understanding
What would make a hypertonic solution isotonic?,Understanding
What term describes the movement of molecules that are pumped from an area of low concentration to an area of high concentration?,Understanding
Certain types of small molecules cross the plasma membrane without the cell exerting any energy. This type of movement is an example of,Understanding
The process in which the cytoplasmic content of the cell is divided into two new daughter cells is called,Understanding
Which phase of meiosis ends with four haploid cells with differing chromosomal content?,Understanding
Asexual reproduction occurs through?,Understanding
Humans possess 23 chromosomes in their gametes; how many chromosomes are in the somatic cells of humans?,Understanding
State two ways in which meiosis differs from mitosis.,Understanding
Explain term cancer.,Understanding
Explain the term diploid.,Understanding
Draw a labelled diagram to show the position of the chromosomes during anaphase of mitosis in a diploid nucleus in which 2n=4.,Understanding
"After telophase of mitosis, how do plant cells split in two?",Understanding
What is function of mitosis in single-celled organisms.,Understanding
What happens in the stage that is before mitosis in the cell cycle?,Understanding
What are guard cells in plants specialised to do?,Understanding
"The greater the complexity of the organism, the greater the number of chromosomes within the cell. Explain the statement.",Understanding
"Which part of a cell probably organizes microtubules, including those of the spindle?",Understanding
"If a cell is to divide, when do the organelles, such as centrioles, duplicate?",Understanding
In which organ will meiosis occur for the human female?,Understanding
When does synapsis and crossing-over occur in meiosis?,Understanding
"Following synapsis during meiosis I, the homologous chromosomes separate. This separation means that?",Understanding
"Which of the following cells, when combined, will result in a diploid fertilized egg?",Understanding
Which cell during oogenesis must be fertilized by a sperm if it is to become a mature egg?,Understanding
How many chromosomes are present in the human secondary spermatocyte?,Understanding
Which of the following cells represents a way to discard unnecessary chromosomes while retaining much of the cytoplasm in the egg?,Understanding
Which of the following statements is NOT correct about human spermatogenesis?,Understanding
"With regard to protein absorption, all of the following are true EXCEPT:",Understanding
Kwashiorkor is characterized by all of the following EXCEPT:,Understanding
Treatment protocols for protein-energy malnutrition begin with,Understanding
Describe essential amino acids for infants.,Understanding
Describe fructose.,Understanding
Give the advantages of dietary fiber.,Understanding
Explain medium chain triglycerides.,Understanding
Morbidly obese people are characterized by?,Understanding
 Bulimia is characterized by?,Understanding
Which of the following is most likely to be associated with anorexia nervosa?,Understanding
Define Body mass index (BMI).,Understanding
The first attempt to breastfeed should be,Understanding
The frequency of breastfeeding should be,Understanding
Breastfeeding mothers should,Understanding
The act of knowing you have lots of CO2 and wanting to breathe because of it is called...,Understanding
Why is it impossible to hold your breath and die? Describe it.,Understanding
Name malfunction of the respiratory system is (IN) the destruction of alveolar walls?,Understanding
"If someone smokes cigarettes constantly for a long time, their alveoli will eventually be coated with tar. Describe it.",Understanding
The skin and sweat glands also reduce body temperature to maintain?,Understanding
There is a reabsorbing capillary in the nephron to reabsorb nutrients that were just put into the loop of henle. State the answer either true or false and explain it.,Understanding
The loop of henle absorbs metabolic wastes from the?,Understanding
"When urine is yellow, that means you are? Explain it.",Understanding
The nasal chamber does what to incoming air? Give the reason.,Understanding
"When we inhale (breathe in), what happens to the pressure in the thorax?",Understanding
What happens when we exhale (breathe out)?,Understanding
Which statement about atmospheric and exhaled air is correct?,Understanding
What happens during gas exchange in the lungs?,Understanding
"During exercise, what happens to breathing in humans?",Understanding
Tobacco smoke contains carbon monoxide. What problem does this cause?,Understanding
"If the mouth and nose are closed at the peak of a complete inspiration, but before expiration, and the breath is held, what is the pressure of gases within the alveoli relative to the pressure of atmospheric air?",Understanding
Which of these is an adaptation for efficient gas exchange in the air sacs (alveoli)?,Understanding
"Describe ecological succession using ecosystem level responses of developmental, stable and disturbed states.",Understanding
Why does total biomass of plants equal total biomass of animals in ocean ecosystems?,Understanding
Suggest a hypothesis to explain high biodiversity in the tropics.,Understanding
Why is the Lindeman system higher in estuaries?,Understanding
"Compare and contrast salt marshes and mangroves Ecosystems interact with each other in a variety of ways and for a variety of reasons. Provide an example of ecosystem interaction, and explain how and why ecosystems are interacting.",Understanding
Why was Flax Pond described as a heterotrophic organism?,Understanding
Discuss diversity within estuaries in terms of gradient space.,Understanding
Discuss the five types of coastal ecosystems associated with estuarine gradients from dominance of ocean to river. There are three regions in an estuarine system. What are they and how are they characterized?,Understanding
What is self-design? How does this idea relate to non-native species as Ariel Lugo was discussing the benefits of alien species?,Understanding
What are the four types of successions Arial Lugo discussed? What is a New Forest Ecosystem?,Understanding
What are natural scientist' three main criticisms of neoclassical economic models?,Understanding
What are the primary causes of disturbance in tropical forest ecosystems?,Understanding
"Despite lush appearances, please explain why net productivity in tropical forests is generally no more than that of temperate forests.",Understanding
Where is the point of highest salinity in a salt marsh? Explain why.,Understanding
Describe the nutrient cycle in the tropics and how agriculture aids or detracts from the regional cycle.,Understanding
Does species diversity follow any patterns?,Understanding
How is biodiversity measured?,Understanding
Why is biodiversity so important and worthy of protection?,Understanding
What is being done to preserve biodiversity and its hotspots?,Understanding
What role does biodiversity play in conservation concepts?,Understanding
What alternative options are there for protecting biodiversity?,Understanding
"What are the distinctions between ""critically endangered"", ""endangered"", and ""vulnerable"" species?",Understanding
What determines the success of an invasive species?,Understanding
What are the 6 threats to biodiversity and give an example of each?,Understanding
How do we estimate rates of species loss?,Understanding
"Describe the difference between background, mass, and anthropogenic extinctions.",Understanding
How can we measure the value of biodiversity?,Understanding
"How will climate change influence the distribution, richness, relative abundance, and prevalence of diseases and invasive species in the marine environment?",Understanding
Apply laws of statistics to evaluate the reliability of a written test.,Applying
Apply shading to produce depth in drawing.,Applying
Apply the rule of law to a new situation,Applying
Apply the storytelling technique here to a little story of your own.,Applying
Apply your understanding the Olympic spirit to develop a new motto or slogan.,Applying
Show the value of x after running this program fragment,Applying
Calculate for x in the following equation: 12x=36,Applying
Calculate the deflection of a beam under uniform loading.,Applying
Calculate the number of sacrificial anodes that would be required to form a calcareous deposit on a steel pile immersed in seawater. ,Applying
Calculate the rate of habitat fragmentation within the Colorado Front Range in the last decade.,Applying
Can you apply the method used to some experience of your own . . .?,Applying
Can you group by characteristics such as . . .?,Applying
Categorise the pictures and add them to the wall display.,Applying
Choose a country that does not compete at the Olympics and explain why that country is not an Olympic member.,Applying
Choose any U.S. president and explain how he exercised his power as Commander in Chief of the Armed Forces.,Applying
Compute the area of actual circles.,Applying
Compute the volume of a cylinder,Applying
Construct a model to demonstrate how it will work.,Applying
Demonstrate how the seasons occur.,Applying
Demonstrate how this could work in an industry setting?,Applying
Demonstrate using the OPAC and your knowledge of library organization to find a book about turtles.,Applying
Demonstrate how your unit?s specific student learning outcomes are linked to the mission of UAM.,Applying
Derive a kinetic model from experimental data.,Applying
Describe an experiment to answer the question of the effects of weight on the fall of an object.,Applying
Construct a market strategy for your product using a known strategy as a model.,Applying
Construct a simple payroll program that computes net pay for those working 40 hours or less and net pay for those working over 40 hours.,Applying
"Draw 3 pictures showing the beginning, middle and ending of the story.",Applying
Draw a picture of the bears' house.,Applying
Draw a picture of the gown Cinderella wore to the ball.,Applying
"From the information given, can you develop a set of instructions about . . .?",Applying
How could someone modify the Cornell Method to make it effective for researching a topic for a paper?,Applying
How might lifestyles in the United States be modified if a more socialistic system were adopted?,Applying
"If notes are available on the professor?s website, how should those notes be used?",Applying
"In a teaching simulation with your peers role-playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.",Applying
Make a diorama to illustrate an important event.,Applying
Make a paper-mache map to include relevant information about an event.,Applying
Make a scrapbook about the areas of study.,Applying
Make up a puzzle game using the ideas from the study area.,Applying
Model an Olympic Village for the new Millenium.,Applying
Participate in a mock election,Applying
Predict what happens to X if Y increases.,Applying
Pretend you are one of the characters in the book. Write a diary about the happenings in your life for two consecutive days.,Applying
Relate the principle of reinforcement to classroom interactions.,Applying
Relate topographic map to field features,Applying
Relate your most powerful story where your use of technology in the classroom has yielded a significant outcome with a student or students,Applying
How would you relate position concept with position strategy,Applying
"Show, through role-play, the final scene in the novel.",Applying
Solve a math problem using familiar procedure or formula,Applying
Solve for the ten following fraction multiplication problems. Please make sure to show all your work.,Applying
Would you solve these two problems using similar approaches,Applying
Use Laplace to solve the following problems,Applying
Can you solve the following problem ,Applying
How to specify the impact energy and impact test temperature of the material in the Code,Applying
Specify the thickness of a galvanized coating based on atmospheric data? (level 2) ,Applying
Specify the thickness of a galvanized coating based on atmospheric data? (level 2) ,Applying
How does one specify the syntactical restrictions,Applying
Specify a deterministic finite automaton (DFA) recognizing the,Applying
Take a collection of photographs to demonstrate a particular point.,Applying
Use a costing model to compute prices on goods to maximise profits and minimise costs.,Applying
Use a manual to calculate an employee's vacation time.,Applying
Use the distance travelled and cost of petrol to calculate the cost of a coach trip using a spreadsheet.,Applying
Use the rule for a semicolon in a sentence.,Applying
What factors would you change if . . .?,Applying
What questions would you ask if . . .?,Applying
Who can use what we know about sonnets and finish this poem?,Applying
Would this information be useful if you had a . . .?,Applying
Sketch a prediction of the field lines for the arrangement of electrodes shown in Figure 2,Applying
Sketch the blackbody curves for radiation emitted from the Sun and the Earth,Applying
Sketch a typical absorption process in a packed column with regeneration in form of,Applying
sketch a graph of velocity versus time for the upward and downward parts of a ball?s flight,Applying
How do teenagers use code in emails and instant messages?,Applying
Use the second-derivative test to determine whether critical points where f0(x) = 0 yield relative maxima or relative minima,Applying
Use the unification algorithm to determine whether the following two terms are uni_able. Show intermediate step,Applying
Use tableau methods to prove that the following tableau is valid.,Applying
Use a sketch too find the exact value of each expression,Applying
Use Gauss? Law to find the electric field between the plates when the charge on them is Q,Applying
What happens if you restrict a determinental process to a subset R ?S? ,Applying
What would happen if the rainfall doubled in your state next year,Applying
What happens if you change the direction of the displacement (but not its size)?,Applying
What would you do if a heavy growth of bacteria had occurred ,Applying
What would result if ?,Applying
What approach would you use to prove the truth of the below statement ,Applying
Construct one Turing Machine for computing each of the following functions,Applying
Construct a Venn diagram to determine the validity of the given argument.,Applying
Construct a dictionary and a truth table to determine if the following statements are logically equivalent,Applying
"How can we construct H given I, B and E?",Applying
Construct a family of networks to demonstrate that the number of different mincuts in a network can be exponential in the size of the network,Applying
How do you construct foliations on a given manifold M?,Applying
How to Construct the Optimal Maintenance Problem,Applying
How to construct simple solutions when problems are complex?,Applying
Construct the 4-Bit Ripple carry Adder Circuit,Applying
Construct an analog circuit with the following specifications,Applying
Construct the Data Path of the RISC Processor given in the previous question ,Applying
How do we construct agents that can deliver. ?good? assistance,Applying
How to construct the selected information system,Applying
Show how they have used creative writing strategies appropriate to the format,Applying
Show how to modify Fitch's algorithm given in class today to accommodate non-binary,Applying
Show how E-CRM can be used to improve marketing positioning as explained in the article,Applying
How would you show your understanding of the ABC process,Applying
Show me how you would check the brake lights are working on this car,Applying
"Osteoporosis, muscular dystrophy and arthritis are problems concerned with movement and support in human. Explain these problems based on source, symptoms and ways to avoid/overcome them.",Applying
If an athlete is made up of predominantly fast twitch muscle fibres what activities would they be more suited to?,Applying
A heterozygous male for tongue rolling marries a homozygous recessive female. Complete a Punnett square to show their possible offspring. Analyse your results as percentages and proportions.,Applying
What percentage success did the scientists have with the implanted embryos in   forming a clone of pigs capable of producing omega-3 fatty acids?  Show ALL working,Applying
"To produce genetically modified pigs, the gene that produces omega-3 fatty acids is   inserted into the pig embryos.  Describe the steps in forming and introducing many   copies of the desirable gene (using bacteria) into the pig embryos.",Applying
"The ability to roll your tongue to form a tube is passed on from parents to their children. The inability to roll a tongue is a recessive trait. Thabo can roll his tongue but his wife, Octavia cannot.  They have four children. The two boys, Keketso and Bongani can roll their tongues. The two girls, Qawekazi and Bongiwe cannot.  Use T to represent the character for tongue rolling and t for the inability to roll a tongue. Use a genetic crossing to supply the genotypes of the parents, Bongani and Qawekazi. Show all your working.",Applying
The students measured the growth of the duckweed by counting the number of leaves. Suggest a better method of measuring the growth of the duckweed.,Applying
A type of white blood cell called a macrophage measures 5 x 10-5 m. What does it measure in micrometres?,Applying
"If the actual size of a cell is 100 ?m, and 10 cm in a book, what is the magnification of the image in the book?",Applying
"If a cell called a megakaryocyte measures 1 x 10-4 m, and a neutrophil measures 1 x 10-5 m, what is the difference in order of magnitude?",Applying
"A scientist observes 100 cancer cells with a microscope. If 16 cells are undergoing mitosis, and the length of the cell cycle is 400 hours, what is the length of mitosis?",Applying
Why are meristematic cells grown in a sterile culture medium?,Applying
"A food contains 5 grams of carbohydrate, 10 grams of fat and 5 grams of protein. How many Calories (kcal) does this food provide?",Applying
Give an example (with references) of a positive feedback loop and a negative feedback loop. ,Applying
What are some of the key factors for successful fisheries management?,Applying
"The agribusiness industry depends upon fossil fuels such as gas and oil, which will be used up or become quite expensive in the next 100 years. Describe changes that can be implemented in the method of food production that may be necessary to support populations.",Applying
"Given the varying reasons for species extinction, how can we as humans best protect biodiversity? And what are some of the possible parameters we can use to measure effectiveness?",Applying
How can marine climate refugia be identified and protected to the maximum extent possible?,Applying
Analyze safe and dangerous aspects of these features.,Analyzing
Analyze the characteristics of frogs.,Analyzing
Analyze the movements and sounds of a frog.,Analyzing
"Analyze the problem, identifying its variables.",Analyzing
Break down the components of a standard film camera and explain how they interact to make the machine work.,Analyzing
Break down the main actions of the story.,Analyzing
"By comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",Analyzing
Can you compare your . . . with that presented in . . .?,Analyzing
Can you distinguish between . . .?,Analyzing
Can you explain what must have happened when . . .?,Analyzing
Can you find four different feelings Pa Lia had during the story?,Analyzing
Compare and contrast animals that the class has made.,Analyzing
Compare and contrast our school to other communities.,Analyzing
"Compare and contrast preview questions, clarifying questions and anticipated exam questions, including how each relates to the notetaking process? ",Analyzing
Compare and contrast the waterfall model with the prototyping model.,Analyzing
Compare and contrast two characters in the book.,Analyzing
Compare fall and spring,Analyzing
Compare herbatious and carnivorous animals on a Venn diagram.,Analyzing
Compare how different children come to school.,Analyzing
Compare the place where the story happened with where you live.,Analyzing
Compare this book to the last book you read.,Analyzing
Compare three celebrations using a Venn diagram.,Analyzing
Compare two dog food commercials. What is the difference between them and how do they both sell their products?,Analyzing
Compare two of the characters in this book.,Analyzing
Conduct an investigation to produce information to support a view.,Analyzing
Contrast building in the coastal zone with building in a river floodplain.,Analyzing
Contrast Olympic athletes of today with athletes of past Olympic games.,Analyzing
Differentiate between .call by value and call by reference.,Analyzing
Differentiate printf function calls for displaying prompts and for echoing data.,Analyzing
Distinguish between micro and macro economics.,Analyzing
Distinguish facts from hypotheses,Analyzing
"Divide the story into initiating event, rising action, climax, and falling action",Analyzing
"Examine what helps to make a good Olympics? Think about money, schedules, sports and people.",Analyzing
"Explain the term conjugal families, by making reference to the different types of societies to which they could belong.",Analyzing
analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your analysis.,Analyzing
"Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",Analyzing
How does your pet differ from other animals?,Analyzing
How does...compare/contrast with...?,Analyzing
How is . . . similar to . . .?,Analyzing
How was life different in your town 100 years ago?,Analyzing
How was this similar to . . .?,Analyzing
How would this story be different if it had happened in a different country?,Analyzing
How would you distinguish between polymyositis and viral myositis in a 42-year-old man with weakness and a rash?,Analyzing
"If your story happened in a foreign land, compare that land to the United States.",Analyzing
"If your story occurred long ago, compare that time with today in a good paragraph. If it was a modern story, compare it with a long time ago and tell what would be different.",Analyzing
Investigate innovations that can enhance future Olympics.,Analyzing
Make a diagnosis or analyze a case study.,Analyzing
Select the athlete of the century and analyze why you chose this person.,Analyzing
"If interest were compounded monthly instead of daily, what would the difference in interest be?",Analyzing
What are the parts or features of...?,Analyzing
Distinguish between the following giving suitable examples,Analyzing
Distinguish between abstract date types (ADTs) and implementations of ADTs,Analyzing
"How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type",Analyzing
How does Tdap differ from Td vaccine,Analyzing
How does autonomy differ with age,Analyzing
In what ways do female offenders differ from male offenders,Analyzing
in what ways trajectory patterns differ according to ABC,Analyzing
How do psychologists differ in their general attitudes toward third party presence,Analyzing
How did Chinese newspapers differ from US,Analyzing
How does public health reporting differ today from reporting two years before,Analyzing
How does an endorsement differ from a teaching certificate,Analyzing
How do we differentiate between genuine buyer and undercover buyer,Analyzing
How do we differentiate between an interview and an interrogation?,Analyzing
Differentiate between the following terms along with appropriate examples,Analyzing
Differentiate the following functions using the quotient rule,Analyzing
Can you differentiate between ethnic Chinese and ethnic Koreans,Analyzing
How would you differentiate obstructive apneas from central apneas,Analyzing
How would you differentiate a project from a program,Analyzing
How is scientific progress similar to Darwinian evolution according to Kuhn,Analyzing
"in what ways is oxyperoxidase similar to other oxygenated heme proteins, and how does it differ",Analyzing
In what ways are foxes similar to wolves and dogs,Analyzing
How are the adolescents with ASD similar of different from each other in their sources of communication breakdowns ?,Analyzing
Examine the data in the EMPLOYEES and DEPARTMENTS tables,Analyzing
Examine the differences between the model excluding the most influential observation and the model including all observations.,Analyzing
Critically examine the strengths and weaknesses of the positivist paradigm,Analyzing
Examine differences between the means of each individual switching factor.,Analyzing
Examine carefully the given map extract on the following page to help you work out the exercise below.,Analyzing
"Inspect each of these Boolean expressions, and determine whether each one is a sum of products, or a product of sums",Analyzing
Inspect the size of the loaded data: how many objects and variables does the iris data matrix contain?,Analyzing
Can you distinguish for me between what is reasonably ?achievable and what are exaggerations,Analyzing
Can you distinguish aged rums from unaged rums by smell,Analyzing
Can you distinguish pot still rums from column still rums by taste,Analyzing
Inspect the pattern of GPS positions relative to the ?known? published value,Analyzing
How does your agency inspect against its expectation for operators ,Analyzing
How to inspect and maintain fresh water plumbing systems properly,Analyzing
Can you analyze the fractures and determine which should be repaired surgically,Analyzing
Can you please analyze modern contemporary culture and tell me how your work plays a significant part in the remains of our post-modernist culture ?,Analyzing
"How effectively did students analyze course content on race, class, and privilege through autobiographical reflection",Analyzing
How do you analyze a marginally RCT ,Analyzing
"Contrast the treatment of ""well known"" trademarks provided by Paris Article and by TRIPS Article ",Analyzing
Contrast the Valles Marineris on Mars with the Grand Canyon,Analyzing
How does Hawaii contrast and compare to Florida?,Analyzing
Investigate whether or not the system can be solved for x; y; z ,Analyzing
Investigate (pointwise) convergence and absolute convergence of the given series of functions,Analyzing
How would you investigate this patient,Analyzing
How would you investigate this abnormality,Analyzing
What can I do to investigate this problem further,Analyzing
how the investigation was undertaken,Analyzing
How would you differentiate between heterodox and mainstream,Analyzing
"How do I differentiate between ""deceive"" and ""cheat on""?",Analyzing
The red fox has 17 pairs of large long chromosomes. The arctic fox has 26 pairs of smaller shorter chromosomes. What do you expect to be the chromosome number in the hybrid somatic tissues?,Analyzing
What problems would the hybrid face in terms of mitosis and meiosis? Would you expect the animals to be viable and/or fertile? Briefly explain.,Analyzing
Describe the trend for energy needed per day per gram of body mass for the four species of bird.,Analyzing
"The dodo bird lived on the island of Mauritius. It was a large, flightless bird which had no predators. People came to the island, bringing hunting dogs with them. Suggest why there are no dodos living today.",Analyzing
"Animals and plants have features (adaptations) that allow them to survive in the conditions in which they normally live. Describe how animals and plants are adapted to survive in dry conditions such as deserts. For each adaptation that you give, describe how the adaptation helps the animal or plant to survive in dry conditions.",Analyzing
 In what ways could human activity lead to the extinction of a species in an area?,Analyzing
How could humans be disadvantaged by the extinction of a plant species?,Analyzing
In what ways can we try to protect a species from extinction?,Analyzing
In what ways does over-grazing lead to soil erosion?,Analyzing
People with mitochondrial disease have mitochondria that do not function properly. Some people with mitochondria disease can only exercise for a short time. Explain why a person with mitochondria disease can only exercise for a short time.,Analyzing
Some cells lining the bronchi of the lungs secrete large amounts of mucus. Mucus contains protein. Name one organelle that you would expect to find in large numbers in a mucus-secreting and describe its role in production of mucus.,Analyzing
One of the most important membrane proteins is the sodium-potassium pump. What would happen to a cell if this pump suddenly stopped working?,Analyzing
Assume that there are thirty sodium ions outside the cell and twenty potassium ions inside the cell. What will happen after one cycle of the sodium-potassium pump?,Analyzing
A protein synthesized inside the cell does not undergo exocytosis. The protein was synthesized by a free-floating ribosome. Explain why.,Analyzing
"Proteins synthesized by ribosomes are processed and packaged in endoplasmic reticulum and Golgi apparatus, respectively. Packaged vesicles are then transported to their target location. What processes will these proteins most likely experience? Explain the answer.",Analyzing
An erythrocyte is placed into a solution with a large concentration of sodium. The erythrocyte is in a hypertonic solution and it will crenate. Explain why.,Analyzing
"An erythrocyte is placed in a solution of 0.9% sodium ions. Erythrocytes contain a concentration of approximately 0.9% sodium chloride. This is a hypotonic solution, relative to the cell, and the cell will lyse. Explain why.",Analyzing
Discuss the anticipated changes in the tropical forest gradient space as a result of expected increase in atmospheric carbon during the next 100 years.,Analyzing
Estuaries are an important ecotone between fresh water and the sea receiving pulsed energy inputs. Discuss the impact of these energy subsidies from both fresh water and ocean sources.,Analyzing
"Describe the relationships between energy availability and disturbance in relation to the productivity and biodiversity of ecosystems. Why are some ecosystems very productive, but not very diverse and other ecosystems diverse, but not very productive? Give examples to support your answer.",Analyzing
Are tropical forests stable ecosystems? Describe the major disturbances that occur in tropical forests. How do these disturbances affect the ecosystem? How are human disturbances to tropical forests different than natural disturbances in terms of their effects on ecosystem stability?,Analyzing
How can we help promote biodiversity?,Analyzing
"How can key large-scale ecological processes be identified, protected, and restored?",Analyzing
"How can marine cultural heritage, maritime historical heritage, and biological conservation be best integrated to maximize benefits for all stakeholders?",Analyzing
There is a population of lions in a South African savanna that eat only impalas and kudu. What do you think is the least likely to happen if all the kudu are killed by humans overhunting them?,Analyzing
Compare the two diagrams below. What type of organism is missing in the ecosystem on the right for the system to be able to function properly?,Analyzing
"You are observing a forest ecosystem and notice that there are mushrooms, which you know to be a fungus, growing on top of a fallen, dead tree. A likely explanation of what is going on would be which of the following choices?",Analyzing
"Unfortunately, several local finch populations have become extinct and other common species are also in decline. What is the most significant reason for their extinction?",Analyzing
Apply and integrate several different strategies to solve a mathematical problem (not according to one formula(,Evaluating
Can you create new and unusual uses for . . .?,Evaluating
Can you design a . . . to . . .?,Evaluating
Can you develop a proposal which would . . .?,Evaluating
Can you invent another character for the story?,Evaluating
Can you see a possible solution to . . .?,Evaluating
Can you write a new recipe for a tasty dish?,Evaluating
Choose a character. Rewrite a scene from the story from this character's point of view.,Evaluating
Combine any two sports to develop a new Olympic sport.,Evaluating
"Combine elements of drama, music, and dance into a stage presentation.",Evaluating
Compose a class story.,Evaluating
Compose a dialogue between Atticus Finch and Tom Robinson when they first met.,Evaluating
Compose a rhythm or put new words to a known melody.,Evaluating
Compose a simple rap or rhyme about zoo animals.,Evaluating
Compose music for a frog play.,Evaluating
Compose a complete C program that reads text strings from a text file into a suitable data,Evaluating
Compose a device that would assist an athlete in their training.,Evaluating
Compose an original work which incorporates five common materials in sculpture.,Evaluating
Compose your own note-taking design that incorporates all theadvantages of the Cornell Method.,Evaluating
Create a chart that compares things that use electricity and things that do NOT use electricity.,Evaluating
Create a new product. Give it a name and plan a marketing campaign.,Evaluating
"Create a new song for the opening line of ""Mary had a little lamb"".",Evaluating
Create a set of guidelines to determine the points of a plant susceptible to localized corrosion.,Evaluating
Create a storyboard for a sequel to your book. Use the same characters.,Evaluating
Create an equation to represent the solution to this problem.,Evaluating
Create and perform a play about frogs.,Evaluating
Create plan of local environment by drawing around boxes.,Evaluating
Design a building according to given specifications,Evaluating
design a cost effective strategy to generate reliable data.,Evaluating
Design a machine to perform a specific task.,Evaluating
Design a new animal to live in the jungle.,Evaluating
Design a poster for this book.,Evaluating
Design a testing scenario to assess the susceptibility of an alloy to be used in a given environment?,Evaluating
Design and make an animal that moves.,Evaluating
Design costumes for the characters.,Evaluating
Design the architecture of the software system based on the requirements defined in the Software Requirement Specification document,Evaluating
Develop a hypothesis.,Evaluating
Develop a plan for a new Olympic Bid System.,Evaluating
Develop a SQA Plan for a software development project which is defined in the attached document.,Evaluating
"Develop a way to teach the concept of ""adjectives"".",Evaluating
Develop one plausible ending for all three short stories below.,Evaluating
Devise a new economic system based on the ones that already exist.,Evaluating
Devise plans to market or make artwork more valuable.,Evaluating
Draw a painting that uses various principles of perspective to achieve its effect.,Evaluating
"Explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness.",Evaluating
Explain why it is likely that a matriarchal family system would be found in a matrilocal or matrilineal society.,Evaluating
"Following the identification of the forms of corrosion that were involved in a failure, recommend a solution to avoid this failure?",Evaluating
Given two opposing theories design an experiment to compare them.,Evaluating
How could we determine the number of pennies in a jar without counting them?,Evaluating
How could you re-write this story with a city setting?,Evaluating
"how do the clauses and expressions given in the article which replace GOTO statements, lead to the three traditional control statements",Evaluating
How many ways can you . . .?,Evaluating
How would the U.S.A. be different if the South had won the Civil War?,Evaluating
How would you change the story to create a different ending?,Evaluating
How would you create/design a new...?,Evaluating
How would you restructure the school day to reflect children's developmental needs?,Evaluating
Identify one problem in the book and give an alternate solution one not given by the author.,Evaluating
If you had access to all resources how would you deal with . . .?,Evaluating
Integrate training from several sources to solve a problem.,Evaluating
Invent a machine to do a specific task.,Evaluating
Justify your choice of data structure.,Evaluating
Make a radio announcement that advertise the book. Write it out.,Evaluating
Make up a new language code and write material using it.,Evaluating
Name one character. Rewrite the story from this character's point of view.,Evaluating
Organize this book into three or more sections and give your own subtitle for each section.,Evaluating
Plan a research paper on a given historical topic,Evaluating
Predict the differences of a planet with no seasonal changes.,Evaluating
Prepare a book jacket that illustrates the kind of book as well as the story.,Evaluating
Pretend you are a librarian recommending this book to someone. Write a paragraph telling what you would say.,Evaluating
Revise and process to improve the outcome.,Evaluating
Revise how to complete a complex task in order to improve the outcome.,Evaluating
Revises and process to improve the outcome.,Evaluating
"structure, sorts the list in ascending order, displays the list on the screen and stores the list",Evaluating
Suppose Phillip wasn't rescued shortly after Timothy's death. How long could he have survived?,Evaluating
"Using information from the book about one of the main characters, rewrite the ending of the book.",Evaluating
What ideas can you add to...?,Evaluating
What might happen if you combined...?,Evaluating
What solutions would you suggest for...?,Evaluating
What would happen if . . .?,Evaluating
What would you predict/infer from...?,Evaluating
Why don?t you devise your own way to deal with . . .?,Evaluating
Why not compose a song about . . .?,Evaluating
"Write a C program that accepts integer inputs from the screen, computes the total and average values; and displays the values on the screen.",Evaluating
Write a letter to the editor on a social issue of concern to you.,Evaluating
Write a logically organized argument in favor of a given position.,Evaluating
Write a poem about this book.,Evaluating
Write a set of rules to prevent what happened in the story.,Evaluating
Write a short story relating a personal experience in the style of a picaresque novel.,Evaluating
